step,phase,C_renal,psi
717,intra-session,2.15,9527.4225
718,intra-session,2.1,9823.2493
719,intra-session,2.05,10000.0
720,inter-session,2.0,10000.0
721,inter-session,2.1478,9808.497
722,inter-session,2.2912,9258.6826
723,inter-session,2.4303,8789.1459
724,inter-session,2.5654,8384.0851
725,inter-session,2.6965,8031.5962
726,inter-session,2.8236,7722.5407
727,inter-session,2.9471,7449.7869
728,inter-session,3.0669,7207.6876
729,inter-session,3.1831,6991.7129
730,inter-session,3.2959,6798.1867
731,inter-session,3.4054,6624.0949
732,inter-session,3.5116,6466.9425
733,inter-session,3.6147,6324.6467
734,inter-session,3.7148,6195.4548
735,inter-session,3.8119,6077.8816
736,inter-session,3.9061,5970.6601
737,inter-session,3.9975,5872.7028
738,inter-session,4.0863,5783.071
739,inter-session,4.1724,5700.9502
740,inter-session,4.2559,5625.6301
741,inter-session,4.337,5556.4888
742,inter-session,4.4157,5492.9788
743,inter-session,4.4921,5434.617
744,inter-session,4.5662,5380.9746
745,inter-session,4.6382,5331.6706
746,inter-session,4.708,5286.3644
747,inter-session,4.7757,5244.7514
748,inter-session,4.8414,5206.5576
749,inter-session,4.9052,5171.5366
750,inter-session,4.9672,5139.4655
751,inter-session,5.0272,5110.1427
752,inter-session,5.0855,5083.385
753,inter-session,5.1421,5059.0258
754,inter-session,5.197,5036.9132
755,inter-session,5.2503,5016.9083
756,inter-session,5.302,4998.8841
757,inter-session,5.3522,4982.7238
758,inter-session,5.4009,4968.3203
759,inter-session,5.4482,4955.5748
760,inter-session,5.494,4944.3961
761,inter-session,5.5385,4934.7003
762,inter-session,5.5817,4926.4092
763,inter-session,5.6236,4919.4509
764,inter-session,5.6643,4913.7581
765,inter-session,5.7038,4909.2687
766,inter-session,5.7421,4905.9247
767,inter-session,5.7793,4903.6719
768,inter-session,5.8154,4902.46
769,inter-session,5.8504,4902.2418
770,inter-session,5.8843,4902.9731
771,inter-session,5.9173,4904.6127
772,inter-session,5.9493,4907.1218
773,inter-session,5.9804,4910.464
774,inter-session,6.0105,4914.6051
775,inter-session,6.0398,4919.513
776,inter-session,6.0681,4925.1574
777,inter-session,6.0957,4931.5098
778,inter-session,6.1224,4938.5431
779,inter-session,6.1483,4946.232
780,inter-session,6.1735,4954.5523
781,inter-session,6.1979,4963.4815
782,inter-session,6.2216,4972.9978
783,inter-session,6.2446,4983.081
784,inter-session,6.267,4993.7116
785,inter-session,6.2886,5004.8712
786,inter-session,6.3097,5016.5425
787,inter-session,6.3301,5028.7088
788,inter-session,6.3499,5041.3544
789,inter-session,6.3691,5054.4642
790,inter-session,6.3877,5068.0239
791,inter-session,6.4058,5082.0199
792,inter-session,6.4234,5096.4392
793,inter-session,6.4404,5111.2693
794,inter-session,6.457,5126.4985
795,inter-session,6.473,5142.1153
796,inter-session,6.4886,5158.1089
797,inter-session,6.5037,5174.4691
798,inter-session,6.5184,5191.1858
799,inter-session,6.5326,5208.2496
800,inter-session,6.5464,5225.6513
801,inter-session,6.5598,5243.3823
802,inter-session,6.5728,5261.4342
803,inter-session,6.5855,5279.7989
804,inter-session,6.5977,5298.4687
805,inter-session,6.6096,5317.4363
806,inter-session,6.6211,5336.6945
807,inter-session,6.6323,5356.2364
808,inter-session,6.6432,5376.0555
809,inter-session,6.6537,5396.1455
810,inter-session,6.664,5416.5002
811,inter-session,6.6739,5437.1138
812,inter-session,6.6835,5457.9806
813,inter-session,6.6929,5479.0952
814,inter-session,6.702,5500.4523
815,inter-session,6.7108,5522.0469
816,inter-session,6.7193,5543.8741
817,inter-session,6.7276,5565.9291
818,inter-session,6.7357,5588.2074
819,inter-session,6.7435,5610.7046
820,inter-session,6.7511,5633.4164
821,inter-session,6.7584,5656.3388
822,inter-session,6.7656,5679.4677
823,inter-session,6.7725,5702.7994
824,inter-session,6.7792,5726.3302
825,inter-session,6.7857,5750.0563
826,inter-session,6.7921,5773.9745
