step,t,phi_cardiac,c_cardiac,c_renal,psi,regime
444,22.2,1.931,0.5885,0.3581,10000.0,overload
445,22.25,1.9308,0.5886,0.3578,10000.0,overload
446,22.3,1.9306,0.5888,0.3575,10000.0,overload
447,22.35,1.9304,0.5889,0.3573,10000.0,overload
448,22.4,1.9302,0.589,0.357,10000.0,overload
449,22.45,1.93,0.5892,0.3567,10000.0,overload
450,22.5,1.9298,0.5893,0.3565,10000.0,overload
451,22.55,1.9296,0.5894,0.3562,10000.0,overload
452,22.6,1.9294,0.5896,0.3559,10000.0,overload
453,22.65,1.9292,0.5897,0.3557,10000.0,overload
454,22.7,1.929,0.5898,0.3554,10000.0,overload
455,22.75,1.9288,0.59,0.3551,10000.0,overload
456,22.8,1.9286,0.5901,0.3549,10000.0,overload
457,22.85,1.9284,0.5902,0.3546,10000.0,overload
458,22.9,1.9282,0.5904,0.3543,10000.0,overload
459,22.95,1.928,0.5905,0.3541,10000.0,overload
460,23.0,1.9278,0.5906,0.3538,10000.0,overload
461,23.05,1.9276,0.5908,0.3535,10000.0,overload
462,23.1,1.9274,0.5909,0.3533,10000.0,overload
463,23.15,1.9272,0.591,0.353,10000.0,overload
464,23.2,1.927,0.5912,0.3527,10000.0,overload
465,23.25,1.9268,0.5913,0.3525,10000.0,overload
466,23.3,1.9266,0.5914,0.3522,10000.0,overload
467,23.35,1.9264,0.5916,0.3519,10000.0,overload
468,23.4,1.9262,0.5917,0.3517,10000.0,overload
469,23.45,1.926,0.5918,0.3514,10000.0,overload
470,23.5,1.9258,0.5919,0.3512,10000.0,overload
471,23.55,1.9256,0.5921,0.3509,10000.0,overload
472,23.6,1.9254,0.5922,0.3506,10000.0,overload
473,23.65,1.9252,0.5923,0.3504,10000.0,overload
474,23.7,1.925,0.5925,0.3501,10000.0,overload
475,23.75,1.9248,0.5926,0.3498,10000.0,overload
476,23.8,1.9246,0.5927,0.3496,10000.0,overload
477,23.85,1.9244,0.5928,0.3493,10000.0,overload
478,23.9,1.9242,0.593,0.3491,10000.0,overload
479,23.95,1.924,0.5931,0.3488,10000.0,overload
480,24.0,1.9238,0.5932,0.3485,10000.0,overload
481,24.05,1.9236,0.5934,0.3483,10000.0,overload
482,24.1,1.9234,0.5935,0.348,10000.0,overload
483,24.15,1.9232,0.5936,0.3477,10000.0,overload
