step,psi_adaptive,psi_control,S_adaptive,Ms_adaptive
23.1,3377.3368,578954.5046,92.5362,102.493
23.150000000000002,3392.3073,581842.8231,92.9362,102.9164
23.200000000000003,3407.2981,585647.4168,93.3369,103.3408
23.25,3422.3029,588543.328,93.7385,103.7657
23.3,3437.3293,592377.3341,94.1406,104.1915
23.35,3452.3624,595289.9441,94.5436,104.618
23.400000000000002,3467.417,599151.7334,94.9471,105.0451
23.450000000000003,3482.4792,602083.3785,95.3513,105.473
23.5,3497.5632,605978.286,95.7562,105.9017
23.55,3512.6602,608916.7504,96.1618,106.3311
23.6,3527.7769,612841.976,96.5683,106.7612
23.650000000000002,3542.9124,615797.1436,96.9754,107.1923
23.700000000000003,3558.0649,619750.4528,97.3835,107.6241
23.75,3573.2413,622725.392,97.7922,108.0569
23.8,3588.4385,626711.5624,98.2018,108.4905
23.85,3603.6632,629692.42,98.6123,108.9251
23.900000000000002,3618.9191,633709.9422,99.0236,109.3606
23.950000000000003,3634.1985,636708.0854,99.4359,109.797
24.0,3649.5113,640760.7655,99.849,110.2345
24.05,3664.8465,643767.6995,100.2631,110.6729
24.1,3680.2184,647849.4578,100.678,111.1123
24.150000000000002,3695.6146,650873.0978,101.0939,111.5526
24.200000000000003,3711.0508,654983.4508,101.5107,111.994
24.25,3726.5174,658025.2507,101.9284,112.4361
24.3,3742.0228,662170.9006,102.3469,112.8792
24.35,3757.5572,665219.9288,102.7663,113.3231
24.400000000000002,3773.1263,669395.8292,103.1864,113.7678
24.450000000000003,3788.7297,672461.5693,103.6074,114.2134
24.5,3804.3679,676666.3705,104.0294,114.6598
24.55,3820.0442,679751.2983,104.452,115.1072
24.6,3835.7583,683990.8613,104.8757,115.5555
24.650000000000002,3851.5175,687081.8226,105.3002,116.0048
24.700000000000003,3867.3186,691352.9652,105.7256,116.4551
24.75,3883.1643,694460.645,106.152,116.9066
24.8,3899.0598,698760.9965,106.5793,117.3591
24.85,3915.0014,701889.0586,107.0078,117.8129
24.900000000000002,3930.9954,706223.475,107.4372,118.2678
24.950000000000003,3947.0359,709356.2081,107.8678,118.724
